## section 2 key
## There are 221  energy bands, each with  184  time bins.
## Emission    Energy of   Brightness    std. error  
##   Time      bin center (n/sterad(p)/   (n/sterad(p)/  
##   (us)         (eV)     pulse/us/eV)  pulse/us/eV)
  5.1116e+03   1.0000e-05   5.3999e+01   8.8882e+00 
  5.4492e+03   1.0000e-05   4.3332e+03   4.2942e+03 
  5.8091e+03   1.0000e-05   5.2026e+01   2.2397e+01 
  6.1928e+03   1.0000e-05   2.9069e+01   5.2615e+00 
  6.6019e+03   1.0000e-05   1.2226e+02   8.8128e+01 
  7.0379e+03   1.0000e-05   7.6712e+02   7.5385e+02 
  7.5028e+03   1.0000e-05   1.6449e+01   3.8689e+00 
  7.9983e+03   1.0000e-05   7.8667e+00   1.6748e+00 
  8.5266e+03   1.0000e-05   9.7452e+00   3.6291e+00 
  9.0898e+03   1.0000e-05   8.3392e+02   8.2900e+02 
  9.6902e+03   1.0000e-05   5.2517e+00   1.3308e+00 
  5.5000e+04   1.0000e-05   5.3788e-01   3.4510e-01 
  5.5000e+05   1.0000e-05   1.3932e-05   4.0792e-06 
  5.5000e+06   1.0000e-05   0.0000e+00   0.0000e+00 


  5.0000e-02   1.1220e-05   0.0000e+00   0.0000e+00 
  1.0330e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.1013e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.1740e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.2515e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.3342e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.4223e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.5163e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.6164e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.7232e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.8370e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  1.9583e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.0877e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.2256e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.3726e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.5293e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.6964e-01   1.1220e-05   0.0000e+00   0.0000e+00 
  2.8745e-01   1.1220e-05   0.0000e+00   0.0000e+00 
